main_genre,mae
History,0.13670604607008485
Mystery,0.36015480400863636
Romance,0.39724048865531913
Drama,0.4258948708254751
Crime,0.4535125363609197
Family,0.4575334858023433
Comedy,0.4597947067426647
Adventure,0.4669855327823606
Fantasy,0.48913382686057255
Horror,0.49878010486969826
Animation,0.5104984997936999
Action,0.5118706578575258
Thriller,0.5264214315080187
Music,0.5890800529763163
Science Fiction,0.5981588051160154
Documentary,0.7438417005901905
Western,0.763405020242776
